piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,post_landing,114,1894.0,58,190.014,473.025,-0.05724,0.15850,0.16852,-0.022018,0.114304,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,115,1911.0,58,189.960,472.913,-0.02977,0.14152,0.14462,-0.016806,0.093471,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,116,1927.0,58,189.930,472.841,0.13628,0.10579,0.17252,-0.026540,0.076591,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,post_landing,117,1944.0,58,190.067,472.752,0.28998,0.05405,0.29498,-0.034527,0.049934,0,1,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
2,falling,0,22.0,,195.000,97.029,0.00000,0.55000,0.55000,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,1,24.0,,195.000,97.099,0.00000,0.58234,0.58234,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,2,39.0,,195.000,97.841,0.00000,0.82448,0.82448,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,3,56.0,,195.000,98.958,0.00000,1.09520,1.09520,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,4,73.0,,195.000,100.347,0.00000,1.36178,1.36178,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,5,89.0,,195.000,101.892,0.00000,1.60883,1.60883,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,6,106.0,,195.000,103.796,0.00000,1.86755,1.86755,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,7,123.0,,195.000,105.961,0.00000,2.12231,2.12231,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,8,139.0,,195.000,108.225,0.00000,2.35842,2.35842,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,9,156.0,,195.000,110.883,0.00000,2.60567,2.60567,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,10,173.0,,195.000,113.789,0.00000,2.84913,2.84913,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,11,190.0,,195.000,116.741,0.00000,3.07477,3.07477,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,12,206.0,,195.000,120.118,0.00000,3.31106,3.31106,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,13,223.0,,195.000,123.733,0.00000,3.54374,3.54374,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,14,240.0,,195.000,127.342,0.00000,3.75937,3.75937,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,15,256.0,,195.000,131.407,0.00000,3.98519,3.98519,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,16,273.0,,195.000,135.698,0.00000,4.20755,4.20755,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,17,290.0,,195.000,139.935,0.00000,4.41363,4.41363,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,18,306.0,,195.000,144.658,0.00000,4.62943,4.62943,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,19,323.0,,195.000,149.596,0.00000,4.84193,4.84193,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,20,340.0,,195.000,154.434,0.00000,5.03888,5.03888,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,21,356.0,,195.000,159.784,0.00000,5.24512,5.24512,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,22,373.0,,195.000,165.341,0.00000,5.44820,5.44820,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,23,390.0,,195.000,170.752,0.00000,5.63641,5.63641,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,24,406.0,,195.000,176.702,0.00000,5.83351,5.83351,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,25,423.0,,195.000,182.850,0.00000,6.02759,6.02759,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,26,440.0,,195.000,188.809,0.00000,6.20746,6.20746,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,27,456.0,,195.000,195.333,0.00000,6.39582,6.39582,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,28,473.0,,195.000,202.046,0.00000,6.58129,6.58129,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,29,490.0,,195.000,208.529,0.00000,6.75319,6.75319,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,30,506.0,,195.000,215.601,0.00000,6.93320,6.93320,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,31,523.0,,195.000,222.853,0.00000,7.11045,7.11045,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,32,540.0,,195.000,229.837,0.00000,7.27473,7.27473,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,33,556.0,,195.000,237.433,0.00000,7.44676,7.44676,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,34,573.0,,195.000,245.201,0.00000,7.61616,7.61616,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,35,590.0,,195.000,252.664,0.00000,7.77315,7.77315,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,36,606.0,,195.000,260.760,0.00000,7.93756,7.93756,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,37,623.0,,195.000,269.021,0.00000,8.09945,8.09945,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,38,640.0,,195.000,276.941,0.00000,8.24948,8.24948,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
2,falling,39,656.0,,195.000,285.516,0.00000,8.40660,8.40660,0.000000,0.000000,0,0,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76
